"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1037","8.3690888734309465E-1","2.6569853876973453E-29","-6.5553023513506719E-32","6.0314258522129136E-16","5.2232242080210143E-5","5.1825223150917431E-31","3.1883411154606098E+0","2.6915795567917442E+0","1.1930840375619360E+1","1.3377103345065400E+3","1.215058560962404E-2"
"1022","8.3545721186152810E-1","-1.9899421828029305E-29","-1.5676201644734018E-33","-1.7160839206851629E-16","1.2339876278741675E-2","1.2770782216316479E-32","3.1882127213608800E+0","2.6920309879329221E+0","1.1932841413586967E+1","1.3362046499696701E+3","1.215058560962404E-2"
"28","4.2480675493279985E-1","1.1866011530802719E-22","-1.2133537202604730E-25","-1.8214801395843709E-12","1.4104407201579263E+0","-1.3588467590764364E-24","2.7557695324747900E+0","7.4381983296496372E+0","3.2970958160726873E+1","1.0719185485088600E+2","1.215058560962404E-2"
"406","6.4817749289396820E-1","-4.0551710775759217E-23","1.3091434731424179E-25","3.3539455286381293E-13","7.5638600513669496E-1","1.4206031417243406E-24","2.9115531278506199E+0","6.5177832560966431E+0","2.8891076778746086E+1","5.3672594692170897E+1","1.215058560962404E-2"
"404","6.4705017976217949E-1","-3.2504897776804941E-23","-2.6527760185473629E-26","3.0487778939009659E-13","7.5905615964008910E-1","-7.2973797449038611E-25","2.9109265572471199E+0","6.5293315073396165E+0","2.8942266178609749E+1","5.3670703347050399E+1","1.215058560962404E-2"
